Index,Date, Nikkei Open,STI Open
1004,12/13/13,15316.89,3044.28
1005,12/16/13,15408.35,3053.69
1006,12/17/13,15290.22,3073.07
1007,12/18/13,15273.24,3058.82
,12/25/17,22909.41,#N/A
1009,12/19/13,15809.43,3083.44
1010,12/20/13,15790.69,3072.41
1011,12/24/13,15955.9,3124.47
1012,12/26/13,16087.07,3131.94
1013,12/27/13,16229.43,3144.87
1014,12/30/13,16269.22,3159.68
1015,1/6/2014,16147.54,3142.61
1016,1/7/2014,15835.41,3123.85
1017,1/8/2014,15943.68,3129.93
1018,1/9/2014,16002.88,3143.12
1019,1/10/2014,15785.15,3148.72
1020,01/14/14,15657.2,3117.88
1021,01/15/14,15649.07,3131.33
1022,01/16/14,15845.15,3150
1023,01/17/14,15695.46,3129.58
1024,01/20/14,15724.14,3137.26
1025,01/21/14,15710.89,3130.39
1026,01/22/14,15749.01,3129.46
1027,01/23/14,15900.63,3129.24
1028,01/24/14,15473.57,3087.09
1029,01/27/14,15091.45,3038.99
1030,01/28/14,15038.64,3035.56
1031,01/29/14,15164.34,3064.05
1032,01/30/14,15112.7,3019.08
1033,2/3/2014,14788.56,3008.11
1034,2/4/2014,14353.33,2954.88
1035,2/5/2014,14213.1,2974.8
1036,2/6/2014,14233.42,2972.98
1037,2/7/2014,14387.11,3003.53
1038,2/10/2014,14647.83,3021.89
1039,2/12/2014,14821.73,3039.46
1040,02/13/14,14785.84,3029.53
1041,02/14/14,14538.2,3046.12
1042,02/17/14,14343.73,3048.7
1043,02/18/14,14514.47,3075.47
1044,02/19/14,14729.48,3087.31
1045,02/20/14,14701.14,3093.39
1046,02/21/14,14618.61,3103.3
1047,02/24/14,14803.64,3112.43
1048,02/25/14,15002.51,3116.3
1049,02/26/14,14896.49,3101.03
1050,02/27/14,14939.87,3085.54
1051,02/28/14,14929.55,3093.31
1052,3/3/2014,14666.93,3078.29
1053,3/4/2014,14553.95,3088.35
,10/18/17,21374.66,#N/A
1055,3/5/2014,14905.95,3113.15
1056,3/6/2014,14933.76,3115.3
1057,3/7/2014,15280.76,3132.45
1058,3/10/2014,15197.53,3131.87
1059,3/11/2014,15179.47,3126
1060,3/12/2014,15003.8,3113.41
1061,03/13/14,14847.72,3094.24
1062,03/14/14,14526.28,3067.23
1063,03/17/14,14254.32,3071.87
1064,03/18/14,14491.41,3099.63
1065,03/19/14,14495.73,3079.25
1066,03/20/14,14548.76,3065.28
1067,03/24/14,14297.58,3089.47
1068,03/25/14,14401.69,3098.76
1069,03/26/14,14521,3114.95
1070,03/27/14,14305.67,3148.17
1071,03/28/14,14576.25,3162.16
1072,03/31/14,14839.54,3187.61
1073,4/1/2014,14870.51,3195.46
1074,4/2/2014,14897.88,3211.4
1075,4/3/2014,15009.18,3207.57
1076,4/4/2014,15005.54,3223.55
1077,4/7/2014,14880.82,3203.05
1078,4/8/2014,14715.8,3186.43
1079,4/9/2014,14436.05,3205.1
1080,4/10/2014,14484.54,3197.97
1081,4/11/2014,14027.8,3188.55
1082,04/14/14,13887.23,3209.42
1083,04/15/14,14068.75,3235.09
1084,04/16/14,14126.87,3252.04
,9/1/2017,19733.57,#N/A
1086,04/17/14,14395.95,3257.52
1087,04/21/14,14549.45,3260.78
1088,04/22/14,14586.29,3258.56
1089,04/23/14,14480.41,3269.09
1090,04/24/14,14563.25,3259.35
1091,04/25/14,14369.72,3276.52
1092,04/28/14,14289.82,3255.35
1093,04/30/14,14393.51,3249.35
1094,5/2/2014,14454.44,3266.13
1095,5/7/2014,14296.25,3240.3
1096,5/8/2014,14136.41,3248.08
1097,5/9/2014,14101.98,3242.44
1098,5/12/2014,14173.49,3253.74
1099,05/14/14,14385.6,3245.99
1100,05/15/14,14280.51,3253.43
,8/9/2017,19928.96,#N/A
1102,05/16/14,14087.76,3266.83
1103,05/19/14,14130.09,3262
1104,05/20/14,14088.45,3260.49
1105,05/21/14,13969.71,3260.27
1106,05/22/14,14188.28,3265.52
1107,05/23/14,14411.1,3266.31
1108,05/26/14,14592.6,3283.76
1109,05/27/14,14589.79,3282.52
1110,05/28/14,14646.93,3275.37
1111,05/29/14,14585.64,3279.85
1112,05/30/14,14707.66,3281.27
1113,6/2/2014,14777.51,3303.23
1114,6/3/2014,15089.04,3304.06
1115,6/4/2014,15067.41,3295.18
1116,6/5/2014,15112.59,3278.08
1117,6/6/2014,15138.75,3285.18
1118,6/9/2014,15204.31,3308.62
1119,6/10/2014,15130.74,3306.76
1120,6/11/2014,15000.13,3291.38
1121,6/12/2014,14942.15,3284.33
1122,06/13/14,14830.99,3285.66
1123,06/16/14,15049.61,3292.59
1124,06/17/14,14962.99,3289.56
1125,06/18/14,15009.89,3277.14
1126,06/19/14,15140.35,3282.78
1127,06/20/14,15359.6,3268.1
1128,06/23/14,15419.47,3262.17
1129,06/24/14,15300.5,3258.28
